dateTime,id,NH3,CO,NO2,C3H8,C4H10,CH4,H2,C2H5OH,P1_lpo,P1_ratio,P1_conc,P2_lpo,P2_ratio,P2_conc,Temperature,Pressure,Humidity,gpsTime,Latitude,Longitude,shuntVoltageBat,busVoltageBat,currentBat,shuntVoltageSol,busVoltageSol,currentSol,CO2,SCD30_temperature,SCD30_humidity
2021-06-17 00:00:19,47cb5580002e004a,0.14,0.00,4.47,0.70,593.23,411.74,675.83,0.75,1947642,12.98,8519.74,9240230,61.60,274751.94,36.69,99030.00,32,nan,32.992445,-96.757863,12.36,3.44,124.00,3.51,4.58,34.90,3399,37.08,35.92
2021-06-17 00:01:00,47cb5580002e004a,0.14,0.00,4.47,0.70,593.23,411.74,675.83,0.75,1816310,12.11,7692.94,9723953,64.83,317413.91,36.77,99031.00,33,nan,32.992445,-96.757863,12.49,3.44,124.20,3.48,4.57,34.50,3395,37.03,35.02
2021-06-17 00:01:41,47cb5580002e004a,0.14,0.00,4.47,0.70,593.23,411.74,675.83,0.75,1846749,12.31,7879.47,9454981,63.03,293166.66,36.74,99031.00,32,nan,32.992445,-96.757863,12.45,3.44,125.30,3.42,4.57,34.40,3394,36.99,35.36
2021-06-17 00:02:22,47cb5580002e004a,0.14,0.00,4.47,0.70,593.23,411.74,675.83,0.75,2042997,13.62,9157.31,9071512,60.48,260859.12,36.83,99034.00,32,nan,32.992445,-96.757863,12.53,3.44,124.80,3.39,4.58,33.80,3395,36.93,34.81
2021-06-17 00:04:06,47cb5580002e004a,0.14,0.00,4.47,0.70,593.23,411.74,675.83,0.75,1684826,11.23,6920.71,8076822,53.85,188710.55,36.62,99030.00,32,nan,32.992268,-96.757528,12.61,3.44,125.80,3.29,4.58,33.00,3348,36.78,36.40
2021-06-17 00:04:46,47cb5580002e004a,0.14,0.00,4.47,0.70,593.23,411.74,675.83,0.75,1668575,11.12,6828.91,9102532,60.68,263376.00,36.65,99034.00,33,nan,32.992268,-96.757528,12.59,3.44,126.10,3.28,4.57,32.50,3371,36.79,36.30
2021-06-17 00:05:27,47cb5580002e004a,0.14,0.00,4.47,0.70,593.23,411.74,675.83,0.75,1826601,12.18,7755.67,8908834,59.39,247932.88,36.65,99038.00,33,nan,32.992268,-96.757528,12.66,3.44,126.80,3.22,4.57,32.40,3420,36.82,36.37
2021-06-17 00:06:08,47cb5580002e004a,0.14,0.00,4.47,0.70,593.23,411.74,675.83,0.75,1592669,10.62,6410.20,8374886,55.83,208638.02,36.62,99037.00,33,nan,32.992268,-96.757528,12.66,3.44,126.60,3.22,4.57,32.10,3410,36.83,36.02
2021-06-17 00:06:48,47cb5580002e004a,0.14,0.00,4.47,0.70,593.23,411.74,675.83,0.75,1918526,12.79,8331.43,8534005,56.89,219856.28,36.63,99037.00,33,nan,32.992268,-96.757528,12.70,3.44,126.60,3.18,4.57,31.50,3397,36.81,35.70
2021-06-17 00:07:29,47cb5580002e004a,0.14,0.00,4.47,0.70,593.23,411.74,675.83,0.75,1960939,13.07,8606.72,8639041,57.59,227487.88,36.72,99038.00,33,nan,32.992268,-96.757528,12.74,3.44,127.70,3.16,4.57,31.60,3386,36.78,36.20
2021-06-17 00:08:51,47cb5580002e004a,0.14,0.00,4.47,0.70,593.23,411.74,675.83,0.75,1784429,11.90,7500.76,8810083,58.73,240307.23,36.74,99038.00,34,nan,32.992268,-96.757528,12.74,3.44,127.40,3.08,4.57,31.00,3377,36.79,35.89
2021-06-17 00:09:31,47cb5580002e004a,0.14,0.00,4.47,0.70,593.23,411.74,675.83,0.75,1796618,11.98,7573.86,9303349,62.02,280078.62,36.70,99036.00,33,nan,32.992268,-96.757528,12.82,3.44,128.10,3.05,4.57,30.60,3373,36.81,36.47
2021-06-17 00:10:12,47cb5580002e004a,0.14,0.00,4.47,0.70,593.23,411.74,675.83,0.75,1858074,12.39,7949.64,8668795,57.79,229682.81,36.73,99034.00,33,nan,32.992268,-96.757528,12.88,3.44,128.10,3.03,4.57,30.20,3368,36.82,36.66
2021-06-17 00:11:33,47cb5580002e004a,0.14,0.00,4.47,0.70,593.23,411.74,675.83,0.75,1873048,12.49,8043.07,8992681,59.95,254538.28,36.64,99040.00,33,nan,32.992268,-96.757528,12.90,3.44,128.10,2.99,4.57,29.90,3374,36.82,36.38
2021-06-17 00:12:14,47cb5580002e004a,0.14,0.00,4.47,0.70,593.23,411.74,675.83,0.75,1854183,12.36,7925.49,9529865,63.53,299783.72,36.63,99039.00,33,nan,32.992268,-96.757528,12.90,3.44,128.90,2.99,4.57,29.90,3377,36.82,36.36
