dateTime,temperature,violetPre,bluePre,greenPre,yellowPre,orangePre,redPre,violetCalibrated,blueCalibrated,greenCalibrated,yellowCalibrated,orangeCalibrated,redCalibrated
2021-07-12 00:00:07.392810,44,2105,3560,3652,3591,2532,2678,2423.41,4449.05,3860.44,3427.39,2366.91,2305.99
2021-07-12 00:00:17.395641,44,2100,3547,3638,3577,2525,2668,2417.65,4432.80,3845.64,3414.03,2360.37,2297.38
2021-07-12 00:00:27.413584,44,2096,3534,3624,3563,2518,2658,2413.05,4416.56,3830.84,3400.67,2353.83,2288.77
2021-07-12 00:00:37.416183,44,2092,3521,3614,3549,2511,2647,2408.44,4400.31,3820.27,3387.30,2347.28,2279.29
2021-07-12 00:00:47.418964,45,2087,3510,3605,3538,2503,2635,2402.68,4386.56,3810.76,3376.81,2339.81,2268.96
2021-07-12 00:00:57.421530,44,2082,3501,3596,3527,2496,2625,2396.93,4375.32,3801.24,3366.31,2333.26,2260.35
2021-07-12 00:01:07.439528,44,2080,3495,3593,3519,2490,2615,2394.63,4367.82,3798.07,3358.67,2327.65,2251.74
2021-07-12 00:01:17.442115,44,2076,3489,3587,3512,2482,2604,2390.02,4360.32,3791.73,3351.99,2320.17,2242.27
2021-07-12 00:01:27.444571,44,2072,3483,3581,3504,2475,2596,2385.42,4352.82,3785.39,3344.35,2313.63,2235.38
2021-07-12 00:01:37.462617,44,2068,3477,3574,3496,2467,2587,2380.81,4345.32,3777.99,3336.72,2306.15,2227.63
2021-07-12 00:01:47.465164,44,2065,3471,3569,3489,2461,2579,2377.36,4337.82,3772.70,3330.04,2300.54,2220.74
2021-07-12 00:01:57.468054,44,2061,3465,3562,3484,2453,2572,2372.75,4330.33,3765.30,3325.27,2293.07,2214.71
2021-07-12 00:02:07.485876,44,2059,3464,3558,3482,2448,2568,2370.45,4329.08,3761.08,3323.36,2288.39,2211.27
2021-07-12 00:02:17.488481,44,2056,3462,3551,3479,2445,2566,2366.99,4326.58,3753.68,3320.49,2285.59,2209.55
2021-07-12 00:02:27.490858,44,2054,3461,3546,3475,2440,2564,2364.69,4325.33,3748.39,3316.68,2280.91,2207.82
2021-07-12 00:02:37.493377,44,2051,3460,3543,3471,2437,2564,2361.24,4324.08,3745.22,3312.86,2278.11,2207.82
2021-07-12 00:02:47.496096,44,2049,3459,3539,3470,2435,2565,2358.94,4322.83,3740.99,3311.90,2276.24,2208.69
2021-07-12 00:02:57.514134,44,2048,3454,3535,3467,2432,2566,2357.78,4316.58,3736.76,3309.04,2273.43,2209.55
2021-07-12 00:03:07.516685,44,2046,3456,3534,3467,2431,2568,2355.48,4319.08,3735.71,3309.04,2272.50,2211.27
2021-07-12 00:03:17.534644,44,2045,3456,3534,3468,2432,2571,2354.33,4319.08,3735.71,3309.99,2273.43,2213.85
2021-07-12 00:03:27.537398,44,2044,3456,3533,3469,2432,2573,2353.18,4319.08,3734.65,3310.95,2273.43,2215.57
2021-07-12 00:03:37.555483,44,2042,3454,3532,3468,2432,2575,2350.88,4316.58,3733.59,3309.99,2273.43,2217.30
2021-07-12 00:03:47.558243,44,2041,3452,3531,3469,2432,2574,2349.73,4314.08,3732.53,3310.95,2273.43,2216.44
2021-07-12 00:03:57.576214,44,2038,3447,3527,3464,2431,2574,2346.27,4307.83,3728.31,3306.18,2272.50,2216.44
