dateTime,timestamp,status,latitudeCoordinate,longitudeCoordinate,latitude,latitudeDirection,longitude,longitudeDirection,speedOverGround,trueCourse,dateStamp,magVariation,magVariationDirection
2021-07-12 00:00:00.669042,00:00:00,A,32.7591625,-97.34233033333334,3245.54975,N,09720.53982,W,0.03,,2021-07-12,,
2021-07-12 00:00:03.664586,00:00:03,A,32.75916133333333,-97.34233100000002,3245.54968,N,09720.53986,W,0.078,,2021-07-12,,
2021-07-12 00:00:06.666765,00:00:06,A,32.759158666666664,-97.34233166666667,3245.54952,N,09720.53990,W,0.102,,2021-07-12,,
2021-07-12 00:00:09.664828,00:00:09,A,32.759158,-97.34233100000002,3245.54948,N,09720.53986,W,0.095,,2021-07-12,,
2021-07-12 00:00:12.668067,00:00:12,A,32.75915666666666,-97.34233033333334,3245.54940,N,09720.53982,W,0.063,,2021-07-12,,
2021-07-12 00:00:15.664286,00:00:15,A,32.75915433333333,-97.34233,3245.54926,N,09720.53980,W,0.04,,2021-07-12,,
2021-07-12 00:00:20.664515,00:00:20,A,32.75915216666667,-97.34232816666666,3245.54913,N,09720.53969,W,0.09,,2021-07-12,,
2021-07-12 00:00:25.665569,00:00:25,A,32.75915066666666,-97.34232716666665,3245.54904,N,09720.53963,W,0.042,,2021-07-12,,
2021-07-12 00:00:28.666489,00:00:28,A,32.759148833333334,-97.34232716666665,3245.54893,N,09720.53963,W,0.029,,2021-07-12,,
2021-07-12 00:00:31.667072,00:00:31,A,32.75914716666667,-97.3423265,3245.54883,N,09720.53959,W,0.092,,2021-07-12,,
2021-07-12 00:00:34.664119,00:00:34,A,32.7591465,-97.34232666666666,3245.54879,N,09720.53960,W,0.008,,2021-07-12,,
2021-07-12 00:00:39.665193,00:00:39,A,32.75914933333333,-97.34232583333332,3245.54896,N,09720.53955,W,0.035,,2021-07-12,,
2021-07-12 00:00:42.664531,00:00:42,A,32.75915166666667,-97.34232433333334,3245.54910,N,09720.53946,W,0.08,,2021-07-12,,
2021-07-12 00:00:47.667466,00:00:47,A,32.7591555,-97.34231999999999,3245.54933,N,09720.53920,W,0.139,,2021-07-12,,
2021-07-12 00:00:50.665085,00:00:50,A,32.759156999999995,-97.34231733333333,3245.54942,N,09720.53904,W,0.042,,2021-07-12,,
2021-07-12 00:00:53.661206,00:00:53,A,32.759156,-97.3423175,3245.54936,N,09720.53905,W,0.025,,2021-07-12,,
2021-07-12 00:00:58.665796,00:00:58,A,32.75914816666667,-97.3423195,3245.54889,N,09720.53917,W,0.129,,2021-07-12,,
2021-07-12 00:01:01.674295,00:01:01,A,32.7591435,-97.34231966666667,3245.54861,N,09720.53918,W,0.026,,2021-07-12,,
2021-07-12 00:01:04.666163,00:01:04,A,32.759137499999994,-97.34232133333335,3245.54825,N,09720.53928,W,0.039,,2021-07-12,,
2021-07-12 00:01:07.662428,00:01:07,A,32.7591365,-97.34232083333333,3245.54819,N,09720.53925,W,0.1,,2021-07-12,,
2021-07-12 00:01:10.662335,00:01:10,A,32.759137499999994,-97.34231999999999,3245.54825,N,09720.53920,W,0.149,,2021-07-12,,
2021-07-12 00:01:17.662882,00:01:17,A,32.75914133333333,-97.34231733333333,3245.54848,N,09720.53904,W,0.135,,2021-07-12,,
2021-07-12 00:01:20.665184,00:01:20,A,32.759141666666665,-97.34231816666667,3245.54850,N,09720.53909,W,0.038,,2021-07-12,,
2021-07-12 00:01:25.664169,00:01:25,A,32.759141500000005,-97.342316,3245.54849,N,09720.53896,W,0.007,,2021-07-12,,
2021-07-12 00:01:28.659989,00:01:28,A,32.75914383333333,-97.34231433333335,3245.54863,N,09720.53886,W,0.094,,2021-07-12,,
2021-07-12 00:01:30.668610,00:01:30,A,32.75914533333333,-97.34231283333332,3245.54872,N,09720.53877,W,0.184,,2021-07-12,,
2021-07-12 00:01:33.664770,00:01:33,A,32.75914516666667,-97.34231083333334,3245.54871,N,09720.53865,W,0.061,,2021-07-12,,
2021-07-12 00:01:36.664798,00:01:36,A,32.759144666666664,-97.34230950000001,3245.54868,N,09720.53857,W,0.144,,2021-07-12,,
2021-07-12 00:01:41.665408,00:01:41,A,32.759149,-97.34230866666667,3245.54894,N,09720.53852,W,0.087,,2021-07-12,,
2021-07-12 00:01:44.665378,00:01:44,A,32.75914783333334,-97.34230899999999,3245.54887,N,09720.53854,W,0.342,,2021-07-12,,
2021-07-12 00:01:47.667883,00:01:47,A,32.75914733333333,-97.34230883333333,3245.54884,N,09720.53853,W,0.018,,2021-07-12,,
2021-07-12 00:01:50.662600,00:01:50,A,32.75915283333333,-97.34230566666665,3245.54917,N,09720.53834,W,0.327,,2021-07-12,,
2021-07-12 00:01:55.667219,00:01:55,A,32.759152666666665,-97.34230483333334,3245.54916,N,09720.53829,W,0.207,,2021-07-12,,
2021-07-12 00:01:58.663671,00:01:58,A,32.759147,-97.34230783333332,3245.54882,N,09720.53847,W,0.183,,2021-07-12,,
2021-07-12 00:02:03.660757,00:02:03,A,32.759140499999994,-97.34231066666668,3245.54843,N,09720.53864,W,0.137,,2021-07-12,,
2021-07-12 00:02:08.661650,00:02:08,A,32.75913683333333,-97.34231383333332,3245.54821,N,09720.53883,W,0.056,,2021-07-12,,
2021-07-12 00:02:15.660929,00:02:15,A,32.75913583333333,-97.34231716666666,3245.54815,N,09720.53903,W,0.033,,2021-07-12,,
2021-07-12 00:02:20.667751,00:02:20,A,32.759130166666665,-97.3423205,3245.54781,N,09720.53923,W,0.113,,2021-07-12,,
2021-07-12 00:02:23.661676,00:02:23,A,32.75912833333334,-97.342321,3245.54770,N,09720.53926,W,0.119,,2021-07-12,,
2021-07-12 00:02:26.661646,00:02:26,A,32.759123333333335,-97.34232366666666,3245.54740,N,09720.53942,W,0.162,,2021-07-12,,
2021-07-12 00:02:31.665432,00:02:31,A,32.7591215,-97.34232633333335,3245.54729,N,09720.53958,W,0.054,,2021-07-12,,
2021-07-12 00:02:34.665789,00:02:34,A,32.75912116666667,-97.342327,3245.54727,N,09720.53962,W,0.196,,2021-07-12,,
2021-07-12 00:02:37.661341,00:02:37,A,32.7591215,-97.34232733333334,3245.54729,N,09720.53964,W,0.037,,2021-07-12,,
2021-07-12 00:02:40.663981,00:02:40,A,32.759120333333335,-97.34232866666667,3245.54722,N,09720.53972,W,0.206,,2021-07-12,,
2021-07-12 00:02:43.662591,00:02:43,A,32.75912183333333,-97.34232816666666,3245.54731,N,09720.53969,W,0.077,,2021-07-12,,
2021-07-12 00:02:46.668358,00:02:46,A,32.75912433333333,-97.34232766666668,3245.54746,N,09720.53966,W,0.107,,2021-07-12,,
2021-07-12 00:02:49.664077,00:02:49,A,32.759117833333335,-97.34233033333334,3245.54707,N,09720.53982,W,0.152,,2021-07-12,,
2021-07-12 00:02:52.665813,00:02:52,A,32.759117833333335,-97.34233016666667,3245.54707,N,09720.53981,W,0.028,,2021-07-12,,
2021-07-12 00:02:55.662263,00:02:55,A,32.75911583333333,-97.34233133333333,3245.54695,N,09720.53988,W,0.022,,2021-07-12,,
2021-07-12 00:03:00.669655,00:03:00,A,32.759114,-97.34233433333333,3245.54684,N,09720.54006,W,0.347,,2021-07-12,,
2021-07-12 00:03:03.664590,00:03:03,A,32.759116999999996,-97.34233383333334,3245.54702,N,09720.54003,W,0.18,,2021-07-12,,
2021-07-12 00:03:06.667719,00:03:06,A,32.7591165,-97.342335,3245.54699,N,09720.54010,W,0.057,,2021-07-12,,
2021-07-12 00:03:09.664490,00:03:09,A,32.7591185,-97.34233433333333,3245.54711,N,09720.54006,W,0.105,,2021-07-12,,
2021-07-12 00:03:12.665884,00:03:12,A,32.759120833333334,-97.34233366666668,3245.54725,N,09720.54002,W,0.179,,2021-07-12,,
2021-07-12 00:03:15.664634,00:03:15,A,32.75912583333333,-97.34233116666668,3245.54755,N,09720.53987,W,0.268,,2021-07-12,,
