dateTime,valid,binCount0,binCount1,binCount2,binCount3,binCount4,binCount5,binCount6,binCount7,binCount8,binCount9,binCount10,binCount11,binCount12,binCount13,binCount14,binCount15,bin1TimeToCross,bin3TimeToCross,bin5TimeToCross,bin7TimeToCross,sampleFlowRate,temperatureOrPressure,samplingPeriod,checkSum,pm1,pm2_5,pm10
2021-07-12 00:00:04.320213,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70,10000,10.03,1,0.02,0.02,0.02
2021-07-12 00:00:14.364407,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,3.70,10000,10.03,2,0.14,0.10,0.13
2021-07-12 00:00:24.393523,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,3.70,10000,10.03,4,0.18,0.14,0.17
2021-07-12 00:00:34.437938,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70,10000,10.03,4,0.08,0.08,0.08
2021-07-12 00:00:44.482202,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70,10000,10.03,2,0.04,0.04,0.04
2021-07-12 00:00:54.526579,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70,10000,10.03,2,0.04,0.04,0.04
2021-07-12 00:01:04.570926,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70,10000,10.03,1,0.02,0.02,0.02
2021-07-12 00:01:14.615266,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,3.70,10000,10.03,3,0.16,0.12,0.15
2021-07-12 00:01:24.644300,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70,10000,10.03,2,0.04,0.04,0.04
2021-07-12 00:01:34.688677,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70,10000,10.03,3,0.06,0.06,0.06
2021-07-12 00:01:44.732947,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70,10000,10.03,2,0.04,0.04,0.04
2021-07-12 00:01:54.777307,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70,10000,10.03,2,0.04,0.04,0.04
2021-07-12 00:02:04.806341,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,3.70,10000,10.03,2,0.14,0.10,0.13
2021-07-12 00:02:14.850491,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70,10000,10.03,3,0.06,0.06,0.06
2021-07-12 00:02:24.894789,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70,10000,10.03,4,0.08,0.08,0.08
2021-07-12 00:02:34.939117,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70,10000,10.03,3,0.06,0.06,0.06
2021-07-12 00:02:44.983554,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,3.70,10000,10.03,3,0.16,0.12,0.15
2021-07-12 00:02:55.012666,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,3.70,10000,10.03,5,0.20,0.15,0.19
2021-07-12 00:03:05.056992,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70,10000,10.03,4,0.08,0.08,0.08
2021-07-12 00:03:15.101453,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,3.70,10000,10.03,2,0.14,0.10,0.13
2021-07-12 00:03:25.145680,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70,10000,10.03,2,0.04,0.04,0.04
2021-07-12 00:03:35.190004,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70,10000,10.03,4,0.08,0.08,0.08
2021-07-12 00:03:45.219208,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70,10000,10.03,3,0.06,0.06,0.06
2021-07-12 00:03:55.263631,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70,10000,10.03,3,0.06,0.06,0.06
2021-07-12 00:04:05.307949,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70,10000,10.03,3,0.06,0.06,0.06
2021-07-12 00:04:15.351969,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70,10000,10.03,4,0.08,0.08,0.08
