dateTime,sampleTimeSeconds,LPOPmMid,LPOPm10,ratioPmMid,ratioPm10,concentrationPmMid,concentrationPm2_5,concentrationPm10
2021-07-12 00:00:09.385875,30,2319068,8899248,7.73,29.66,4301.39,36494.41,40795.80
2021-07-12 00:00:39.360953,30,826016,4607148,2.75,15.36,1426.53,9647.66,11074.20
2021-07-12 00:01:09.336050,30,797304,4259608,2.66,14.20,1376.42,8390.17,9766.59
2021-07-12 00:01:39.296290,30,920028,4561448,3.07,15.20,1591.32,9303.97,10895.29
2021-07-12 00:02:09.271706,30,1255720,5641276,4.19,18.80,2191.29,13557.95,15749.25
2021-07-12 00:02:39.246805,30,1443452,6046532,4.81,20.16,2537.16,15406.78,17943.94
2021-07-12 00:03:09.206937,30,2271320,8757164,7.57,29.19,4197.13,35104.82,39301.95
2021-07-12 00:03:39.182194,30,2132608,9956176,7.11,33.19,3900.26,49379.87,53280.13
2021-07-12 00:04:09.157521,30,2705764,8214036,9.02,27.38,5188.54,28779.68,33968.22
2021-07-12 00:04:39.132845,30,3515652,9585316,11.72,31.95,7342.86,41272.66,48615.52
2021-07-12 00:05:09.108149,30,2132608,9463280,7.11,31.54,3900.26,43248.82,47149.08
2021-07-12 00:05:39.068325,30,1932440,8697688,6.44,28.99,3486.51,35202.51,38689.02
2021-07-12 00:06:09.043589,30,2223384,8597300,7.41,28.66,4093.55,33577.26,37670.81
2021-07-12 00:06:39.018851,30,1560584,7574428,5.20,25.25,2757.65,25653.90,28411.55
2021-07-12 00:07:08.979083,30,1271084,6235936,4.24,20.79,2219.28,16827.87,19047.15
2021-07-12 00:07:38.954339,30,942732,5064696,3.14,16.88,1631.30,11357.92,12989.22
2021-07-12 00:08:08.929541,30,1372812,6856544,4.58,22.86,2405.99,20626.76,23032.76
2021-07-12 00:08:38.904929,30,3845136,9792092,12.82,32.64,8357.40,42819.80,51177.20
2021-07-12 00:09:08.865463,30,1795080,9002912,5.98,30.01,3211.70,38700.59,41912.29
2021-07-12 00:09:38.840441,30,1861740,9669220,6.21,32.23,3344.19,46299.01,49643.20
2021-07-12 00:10:08.815927,30,2181104,8966648,7.27,29.89,4003.07,37516.07,41519.13
