dateTime,luminosity,ir,full,visible,lux
2021-07-12 00:00:00.783922,2383282175,36365,65535,29170,-1.000000
2021-07-12 00:00:10.801938,2374696959,36234,65535,29301,-1.000000
2021-07-12 00:00:20.804670,2365259775,36090,65535,29445,-1.000000
2021-07-12 00:00:30.822655,2361982975,36040,65535,29495,-1.000000
2021-07-12 00:00:40.825300,2352742399,35899,65535,29636,-1.000000
2021-07-12 00:00:50.843306,2344484863,35773,65535,29762,-1.000000
2021-07-12 00:01:00.845841,2341011455,35720,65535,29815,-1.000000
2021-07-12 00:01:10.848503,2334064639,35614,65535,29921,-1.000000
2021-07-12 00:01:20.851124,2328035327,35522,65535,30013,-1.000000
2021-07-12 00:01:30.868956,2324037631,35461,65535,30074,-1.000000
2021-07-12 00:01:40.871690,2317549567,35362,65535,30173,-1.000000
2021-07-12 00:01:50.874250,2308177919,35219,65535,30316,-1.000000
2021-07-12 00:02:00.892278,2303852543,35153,65535,30382,-1.000000
2021-07-12 00:02:10.894968,2302148607,35127,65535,30408,-1.000000
2021-07-12 00:02:20.897583,2297823231,35061,65535,30474,-1.000000
2021-07-12 00:02:30.900027,2296381439,35039,65535,30496,-1.000000
2021-07-12 00:02:40.902466,2290352127,34947,65535,30588,-1.000000
2021-07-12 00:02:50.920453,2281766911,34816,65535,30719,-1.000000
2021-07-12 00:03:00.923141,2271936511,34666,65535,30869,-1.000000
2021-07-12 00:03:10.925756,2256207871,34426,65535,31109,-1.000000
2021-07-12 00:03:20.943682,2245525503,34263,65535,31272,-1.000000
2021-07-12 00:03:30.961861,2239561727,34172,65535,31363,-1.000000
2021-07-12 00:03:40.964564,2237136895,34135,65535,31400,-1.000000
2021-07-12 00:03:50.982622,2233794559,34084,65535,31451,-1.000000
2021-07-12 00:04:00.985273,2228355071,34001,65535,31534,-1.000000
2021-07-12 00:04:10.987996,2214789119,33794,65535,31741,-1.000000
2021-07-12 00:04:20.990574,2196439039,33514,65535,32021,-1.000000
2021-07-12 00:04:31.008567,2190213119,33419,65535,32116,-1.000000
2021-07-12 00:04:41.011206,2177957887,33232,65535,32303,-1.000000
2021-07-12 00:04:51.013734,2170093567,33112,65535,32423,-1.000000
2021-07-12 00:05:01.031649,2164654079,33029,65535,32506,-1.000000
2021-07-12 00:05:11.034274,2160197631,32961,65535,32574,-1.000000
2021-07-12 00:05:21.052202,2155806719,32894,65535,32641,-1.000000
2021-07-12 00:05:31.054935,2151809023,32833,65535,32702,-1.000000
2021-07-12 00:05:41.057545,2148270079,32779,65535,32756,-1.000000
2021-07-12 00:05:51.075551,2143551487,32707,65535,32828,-1.000000
